gene,log2fc,p_value,mean_active,mean_latent,p_adj,significant
FCGR1B,2.5726879539685674,7.184872408797751e-26,5374.653537113402,903.4294221686746,7.610243786521587e-23,True
SEMA4F,-0.8680744842726932,8.669476775333607e-26,114.30016773195877,208.62354746987953,8.261317808750902e-23,True
IMPDH2,-0.6543740368460015,1.0276530479343551e-25,899.3593907216493,1415.53133373494,9.41606867728467e-23,True
CASP1,1.0223184755766173,1.12328151957333e-25,3743.895484536082,1843.211579518072,9.91108727436868e-23,True
SPOCK2,-0.7865024135368947,1.174791811611075e-25,5387.988556701031,9293.675036144577,9.995380474289513e-23,True
CDC25B,-0.835951482709738,1.2719412952427702e-25,2016.6573206185565,3599.8017060240963,1.0448778440196039e-22,True
LBH,-0.786973541395985,1.4639057881338365e-25,1818.9845030927834,3138.5687108433735,1.1624875863570797e-22,True
PEBP1,-0.7291945301526368,1.6843664140710213e-25,1027.1312649484537,1702.6891759036141,1.294408422013353e-22,True
PVRIG,-0.9177368067658368,1.8213625581067804e-25,934.2502340206186,1764.9382783132532,1.3559475069305572e-22,True
LHFPL2,1.5606019176726298,2.0295733729535527e-25,962.9158340206185,326.43772289156624,1.4273941654318627e-22,True
RLTPR,-1.4263063622082017,2.0371658323755755e-25,74.30735754639176,199.70678289156626,1.4273941654318627e-22,True
SESTD1,0.8830530932936455,2.226286976365841e-25,474.4909536082474,257.27789156626505,1.4732454066100954e-22,True
GNG7,-1.075214521356712,2.208396253380501e-25,333.08949793814435,701.8313481927711,1.4732454066100954e-22,True
CD79A,-1.1248114380548038,2.6692883261716546e-25,2969.734871134021,6476.191180722891,1.7186609674158736e-22,True
ITPKB,-0.7354760102433213,2.7565916762924864e-25,993.9340969072166,1654.8473144578313,1.7281653553767343e-22,True
AES,-0.5887978392588574,5.016964637038968e-25,4766.506206185567,7168.791903614459,3.0645935525174187e-22,True
LOC151162,-0.5292334928178247,6.319070323641395e-25,1643.4861144329896,2371.817096385542,3.7634803080027245e-22,True
SLC38A1,-0.774723591763176,9.44806965036319e-25,3140.015350515464,5372.133674698795,5.489789348307373e-22,True
CD27,-1.0533195158796993,1.0326397019572306e-24,1087.565801030928,2257.0247,5.857279909458834e-22,True
RASGRP2,-0.5496974116590785,2.208718463966349e-24,2144.561618556701,3139.163518072289,1.223681394583031e-21,True
C9orf45,-1.3488581147243768,2.2939634179979484e-24,126.43672106185566,322.0475332530121,1.2420247842492074e-21,True
PDE7A,-0.7330902474537584,2.4278981450203644e-24,1439.0369680412368,2391.9610578313254,1.257387337148264e-21,True
S100A8,1.163481360400591,2.400291892509668e-24,28007.60562886598,12503.545927710842,1.257387337148264e-21,True
STAG3L3,-0.734685017376873,2.5118344691444734e-24,1829.9577247422678,3045.112096385542,1.2731794161367827e-21,True
DKFZp761P0423,-0.8288379218140738,2.8215306949884434e-24,656.441107216495,1166.0061614457827,1.400360953056452e-21,True
C17orf60,1.1227142668434362,3.1762673577668225e-24,618.7602711340206,284.15267590361447,1.54424933191998e-21,True
ESYT1,-0.6971998386619362,3.99210184516224e-24,2773.409520618556,4496.6808674698805,1.902076845146001e-21,True
FLT3LG,-0.835344162001645,4.507250811572894e-24,847.5366113402063,1512.2448602409638,2.1054163938059033e-21,True
WDR6,-0.5812570319809027,4.8011276719407915e-24,1829.4785546391754,2737.178530120482,2.1995627793970283e-21,True
CYBB,0.740293715644094,5.469719035330839e-24,2538.045093814433,1519.3181289156626,2.4585871052582375e-21,True
PHF15,-0.6970766127718276,6.779735838813848e-24,1077.7011484536083,1747.1867012048197,2.9909934608900426e-21,True
PLEKHA1,-0.7938168708866974,7.391717715496569e-24,1215.180906185567,2106.7045156626505,3.20168892975045e-21,True
KLF12,-0.9529988799692416,8.374075482060539e-24,423.5247835051547,819.898473493976,3.562421432305861e-21,True
ILF3,-0.6242636328902537,1.079068851739213e-23,872.0230340206184,1344.1571156626505,4.432182285341943e-21,True
FAM62B,-0.6230886338905552,1.0626464538177785e-23,3433.9316804123714,5288.835012048194,4.432182285341943e-21,True
KIAA0355,-0.7195680249837747,1.1171017470561361e-23,562.0292958762886,925.4874060240965,4.5106296474776836e-21,True
CBX7,-0.5005351396328012,2.0212460081982203e-23,1582.9038443298969,2239.394590361446,8.025357275551034e-21,True
POLB,0.7913502540937118,2.7191226279434474e-23,1473.8705505154637,851.6069120481927,1.0545192399901774e-20,True
SMARCD3,1.3920376674359758,2.7444147621790284e-23,1107.7004917525771,422.0629746987952,1.0545192399901774e-20,True
SIGIRR,-0.6222866713381527,2.9197731829337526e-23,734.9683742268043,1131.3464168674695,1.0868399458911061e-20,True
TLR5,1.3379176218398972,2.892917570836512e-23,2641.1502340206184,1044.815891566265,1.0868399458911061e-20,True
DDX24,-0.6230770842432334,3.393875190549827e-23,1236.8851206185568,1904.9968289156627,1.2438813640687467e-20,True
ZAP70,-0.8327712797585133,3.6742768774200245e-23,883.104092783505,1572.8997096385542,1.3262469401632915e-20,True
