"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"ILMN_1730567",0.109239797145659,5.98461134539291,2.97933747526059,0.00327906297091503,0.0144532722565317,-2.70396796851902,"OTUD6A"
"ILMN_1717127",-0.164975585805345,5.38493073807322,-2.97898750901455,0.00328263531675241,0.0144675706191356,-2.7049598737337,"LST1"
"ILMN_3264822",0.121628418686847,6.51924274373961,2.97887557774314,0.003283778630286,0.0144711617089565,-2.70527709691032,"LOC100129559"
"ILMN_1663827",-0.122572646899791,7.16728748400524,-2.97815330362994,0.00329116504277829,0.0145022618084852,-2.70732382597085,"SMYD5"
"ILMN_1766723",0.125643167503465,6.22775414064394,2.97782430959925,0.00329453459020454,0.014515657454801,-2.70825595662508,"ACVR1B"
"ILMN_3274944",-0.110197835840752,6.55793604219527,-2.97764370062726,0.00329638572879918,0.0145221429951986,-2.70876763184055,"LOC442211"
"ILMN_1653185",-0.156719558468677,7.69341744234108,-2.97761637257488,0.00329666590887802,0.0145221429951986,-2.70884505127333,"LOC731196"
"ILMN_1800543",0.137943038919007,9.71999973721928,2.97721509156617,0.00330078254999036,0.0145388233286297,-2.70998179234646,"SCFD1"
"ILMN_1765986",-0.117407867484299,6.26029485798001,-2.97684619801356,0.00330457110024208,0.0145540553426078,-2.71102666424223,"INHBC"
"ILMN_2354211",-0.176592431335538,5.3596885862672,-2.97614528733693,0.00331178048176065,0.0145843488955352,-2.71301163382443,"RCC1"
"ILMN_3236695",0.162159209581817,6.57579738581346,2.97600005175212,0.00331327614169423,0.0145894769410009,-2.71342288599934,"LOC100133747"
"ILMN_1655194",0.155977883350328,9.49574081565138,2.97505648831821,0.0033230082272195,0.0146308681076708,-2.71609425685963,"PHF17"
"ILMN_1780559",0.125883682846022,6.43992011941911,2.97497569472021,0.00332384276591696,0.0146330799201887,-2.71632296003603,"LOC645139"
"ILMN_1768911",-0.124918002022998,6.06474711436255,-2.97483362002071,0.00332531076027079,0.0146380797742269,-2.71672511851798,"LOC644413"
"ILMN_2334587",-0.113725707011318,9.53738557378484,-2.97473549794688,0.003326324959312,0.0146410812132947,-2.71700285395502,"HNRNPC"
"ILMN_1676009",0.129956824300907,6.32915185624974,2.97465296213853,0.00332717827715742,0.0146433739921133,-2.71723646588673,"LOC643938"
"ILMN_1708428",-0.139914074288128,5.63237755194318,-2.97457709681579,0.00332796280773861,0.0146453636007686,-2.71745119227977,"GPR150"
"ILMN_1651964",-0.151509402307189,8.49332731423211,-2.97382312262403,0.00333576896450496,0.0146782497907709,-2.71958494273318,"ABCC5"
"ILMN_1746317",0.120146529554114,6.76897599659848,2.97365102037934,0.00333755315387678,0.0146846338375376,-2.72007192407515,"NUPL1"
"ILMN_1657153",0.246598249387601,11.6236766055361,2.97220075686956,0.00335262291785972,0.0147494649110795,-2.72417458084886,"ACTR3"
